title,category,type
konsultasi cabut gigi,kesehatan,pengeluaran
income dr bos,gaji,pemasukan
bayar langganan intrnet tiap bulan,tagihan,pengeluaran
carrefour,belanja,pengeluaran
makan pagi siang tadi,makanan,pengeluaran
sumbangan dri saudara,hadiah,pemasukan
beli probiotik di apotek,kesehatan,pengeluaran
paintball,hiburan,pengeluaran
baar kos bulan lalu,tagihan,pengeluaran
beli parfum,belanja,pengeluaran
service mobil,transport,pengeluaran
bayar ciilan bulan ini,tagihan,pengeluaran
biaya servis moibl,transport,pengeluaran
bayar myepublic tiap bulan,tagihan,pengeluaran
beli elktronik di lazada,belanja,pengeluaran
beli kado ulang tahun,belanja,pengeluaran
gaji pertama dari perusahaan,gaji,pemasukan
es kopi susu,minuman,pengeluaran
tip pelanggan adri om,hadiah,pemasukan
subscribe spotify,hiburan,pengeluaran
dapat doorprize ulang tahun,hadiah,pemasukan
hadiaah dari ortu,hadiah,pemasukan
wisata,hiburan,pengeluaran
kamera blibli,belanja,pengeluaran
haadiah mennang dai teman,hadiah,pemasukan
bllue bird bolak balik,transport,pengeluaran
dappat doorprize dr ortu,hadiah,pemasukan
naik gocar ke kampus,transport,pengeluaran
mkn spaghetti,makanan,pengeluaran
bayar kredit bulanan,tagihan,pengeluaran
naik ogride ke pasar,transport,pengeluaran
beli apotik,kesehatan,pengeluaran
makan siang di rumah makan,makanan,pengeluaran
geprek bensu di rumah makan,makanan,pengeluaran
minuman energi kopi soe,minuman,pengeluaran
uaang asku lebbbaran,hadiah,pemasukan
abyar pln tiap bulan,tagihan,pengeluaran
lembur,gaji,pemasukan
bayar iuan rt bulan ini,tagihan,pengeluaran
biaya vaksin,kesehatan,pengeluaran
beli kiia farma,kesehatan,pengeluaran
tiket pesawat ke makassar,transport,pengeluaran
soto betawi di kantin,makanan,pengeluaran
hadiah undian dari teman,hadiah,pemasukan
ngopi es doger,minuman,pengeluaran
bayar stroom listrik bulan laalu,tagihan,pengeluaran
beli oximeteer di century,kesehatan,pengeluaran
kweetiau bareng teman,makanan,pengeluaran
angapu dari ortu,hadiah,pemasukan
insentif penjualan via transfer,gaji,pemasukan
beli batagor,makanan,pengeluaran
nasi liwet bareng teman,makanan,pengeluaran
bayar langganan spotiiify,hiburan,pengeluaran
